db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,150
flight_1,correct_execution_not_exact,1,0,145
e_learning,correct_execution_not_exact,1,0,142
allergy_1,correct_execution_not_exact,1,0,117
hr_1,correct_execution_not_exact,1,0,102
flight_4,correct_execution_not_exact,1,0,101
college_3,correct_execution_not_exact,1,0,93
wine_1,correct_execution_not_exact,1,0,77
university_basketball,correct_execution_not_exact,1,0,70
ship_1,correct_execution_not_exact,1,0,69
cinema,correct_execution_not_exact,1,0,61
climbing,correct_execution_not_exact,1,0,55
school_bus,correct_execution_not_exact,1,0,54
device,correct_execution_not_exact,1,0,54
gas_company,correct_execution_not_exact,1,0,52
county_public_safety,correct_execution_not_exact,1,0,51
school_player,correct_execution_not_exact,1,0,50
customer_complaints,correct_execution_not_exact,1,0,50
voter_2,correct_execution_not_exact,1,0,45
musical,correct_execution_not_exact,1,0,45
journal_committee,correct_execution_not_exact,1,0,42
machine_repair,correct_execution_not_exact,1,0,39
flight_1,correct_exact_match,1,0,35
wine_1,same_shape_fields_wrong_values,0,1,32
e_learning,result_field_name_mismatch,0,1,30
pilot_record,correct_execution_not_exact,1,0,30
college_3,same_fields_wrong_values,0,1,28
county_public_safety,correct_exact_match,1,0,27
voter_1,correct_execution_not_exact,1,0,27
university_basketball,result_field_name_mismatch,0,1,25
voter_1,correct_exact_match,1,0,25
flight_4,same_shape_fields_wrong_values,0,1,25
gas_company,stage_mismatch,0,1,23
allergy_1,same_shape_fields_wrong_values,0,1,23
wine_1,same_fields_wrong_values,0,1,21
flight_1,stage_mismatch,0,1,20
hr_1,same_shape_fields_wrong_values,0,1,20
hr_1,result_field_name_mismatch,0,1,20
allergy_1,result_field_name_mismatch,0,1,20
school_bus,correct_exact_match,1,0,20
voter_2,correct_exact_match,1,0,20
cre_Docs_and_Epenses,stage_mismatch,0,1,20
college_3,stage_mismatch,0,1,18
machine_repair,stage_mismatch,0,1,17
hr_1,extra_prediction_fields,0,1,16
device,stage_mismatch,0,1,16
allergy_1,correct_exact_match,1,0,15
climbing,correct_exact_match,1,0,15
customer_complaints,stage_mismatch,0,1,15
college_3,correct_exact_match,1,0,15
pilot_record,stage_mismatch,0,1,15
allergy_1,same_fields_wrong_values,0,1,15
hr_1,stage_mismatch,0,1,14
cre_Docs_and_Epenses,same_fields_wrong_values,0,1,14
musical,stage_mismatch,0,1,14
county_public_safety,stage_mismatch,0,1,12
university_basketball,correct_exact_match,1,0,11
school_player,stage_mismatch,0,1,11
wine_1,correct_exact_match,1,0,10
journal_committee,correct_exact_match,1,0,10
college_3,result_field_name_mismatch,0,1,10
hr_1,empty_prediction_result,0,1,10
gas_company,result_field_name_mismatch,0,1,10
musical,result_field_name_mismatch,0,1,10
climbing,result_field_name_mismatch,0,1,10
cinema,query_field_mismatch,0,1,10
customer_complaints,same_fields_wrong_values,0,1,10
cre_Docs_and_Epenses,same_shape_fields_wrong_values,0,1,10
flight_4,result_field_name_mismatch,0,1,10
climbing,same_fields_wrong_values,0,1,10
wine_1,result_field_name_mismatch,0,1,10
device,result_field_name_mismatch,0,1,10
e_learning,stage_mismatch,0,1,10
university_basketball,stage_mismatch,0,1,9
e_learning,same_fields_wrong_values,0,1,8
cinema,correct_exact_match,1,0,8
journal_committee,stage_mismatch,0,1,8
flight_4,stage_mismatch,0,1,7
hr_1,correct_exact_match,1,0,7
flight_4,empty_prediction_result,0,1,7
school_bus,stage_mismatch,0,1,6
hr_1,same_fields_wrong_values,0,1,6
school_player,same_fields_wrong_values,0,1,6
cinema,same_shape_fields_wrong_values,0,1,6
pilot_record,correct_exact_match,1,0,5
device,correct_exact_match,1,0,5
ship_1,correct_exact_match,1,0,5
cinema,same_fields_wrong_values,0,1,5
wine_1,stage_mismatch,0,1,5
flight_1,same_fields_wrong_values,0,1,5
flight_4,correct_exact_match,1,0,5
school_player,result_field_name_mismatch,0,1,5
pilot_record,result_field_name_mismatch,0,1,5
flight_1,query_field_mismatch,0,1,5
climbing,stage_mismatch,0,1,5
cinema,result_field_name_mismatch,0,1,5
ship_1,result_field_name_mismatch,0,1,5
device,same_fields_wrong_values,0,1,5
school_bus,result_field_name_mismatch,0,1,5
flight_1,result_field_name_mismatch,0,1,5
journal_committee,result_field_name_mismatch,0,1,5
customer_complaints,result_field_name_mismatch,0,1,5
gas_company,same_shape_fields_wrong_values,0,1,5
voter_2,same_shape_fields_wrong_values,0,1,5
voter_1,same_fields_wrong_values,0,1,5
journal_committee,same_shape_fields_wrong_values,0,1,5
cre_Docs_and_Epenses,correct_exact_match,1,0,5
college_3,extra_prediction_fields,0,1,5
e_learning,extra_prediction_fields,0,1,5
voter_2,empty_prediction_result,0,1,5
musical,same_fields_wrong_values,0,1,5
gas_company,correct_exact_match,1,0,5
machine_repair,query_field_mismatch,0,1,4
ship_1,stage_mismatch,0,1,4
school_player,correct_exact_match,1,0,3
voter_1,stage_mismatch,0,1,3
cre_Docs_and_Epenses,empty_prediction_result,0,1,1
musical,correct_exact_match,1,0,1
ship_1,same_shape_fields_wrong_values,0,1,1
ship_1,empty_prediction_result,0,1,1
college_3,same_shape_fields_wrong_values,0,1,1
