failure_bucket,target_signature,prediction_signature,passed_EX,failed_EX,count
correct_exact_match,Student|match>project,Student|match>project,1,0,30
correct_exact_match,Student|group>project,Student|group>project,1,0,25
correct_execution_not_exact,jobs|unwind>match>project,jobs|unwind>match>project,1,0,20
correct_execution_not_exact,airports|match>project,airports|match>project,1,0,15
correct_exact_match,airports|sort>limit>project,airports|sort>limit>project,1,0,15
correct_execution_not_exact,Student|match>project,Student|match>project,1,0,15
correct_exact_match,aircraft|unwind>match>project,aircraft|unwind>match>project,1,0,15
correct_exact_match,Projects|unwind>match>project,Projects|unwind>match>project,1,0,15
correct_execution_not_exact,jobs|unwind>match>not>project,jobs|unwind>match>project,1,0,10
correct_exact_match,Course_Authors_and_Tutors|unwind>match>project,Course_Authors_and_Tutors|unwind>match>project,1,0,10
correct_execution_not_exact,departments|unwind>group>project,jobs|unwind>lookup>unwind>group>project,1,0,10
correct_exact_match,gas_station|project>sort,gas_station|project>sort,1,0,10
correct_execution_not_exact,Projects|project>match>project,Projects|unwind>group>match>project,1,0,10
correct_execution_not_exact,departments|unwind>lookup>unwind>unwind>match>expr>eq>project>unwind>project,jobs|unwind>lookup>unwind>lookup>unwind>unwind>match>project>unwind>project,1,0,10
correct_exact_match,Allergy_Type|unwind>group>project,Allergy_Type|unwind>group>project,1,0,10
correct_exact_match,aircraft|unwind>group>project,aircraft|unwind>group>project,1,0,10
correct_execution_not_exact,Faculty|match>sort>project,Faculty|match>project>sort,1,0,10
correct_exact_match,university|match>project,university|match>project,1,0,10
correct_execution_not_exact,Course_Authors_and_Tutors|lookup>match>project,Course_Authors_and_Tutors|project>project>addFields>project>project>addFields>group>match>project,1,0,10
correct_execution_not_exact,Department|match>project,Department|match>project,1,0,10
correct_exact_match,musical|group>sort>limit>project,musical|group>sort>limit>project,1,0,10
correct_exact_match,editor|match>project,editor|match>project,1,0,10
correct_exact_match,cinema|match>group>match>project,cinema|match>group>match>project,1,0,10
correct_execution_not_exact,driver|match>project,driver|match>project,1,0,10
correct_exact_match,appellations|unwind>match>project,appellations|unwind>match>project,1,0,10
correct_exact_match,employee|sort>limit>project,employee|sort>limit>project,1,0,10
correct_execution_not_exact,Department|unwind>match>project,Faculty|unwind>match>project,1,0,10
correct_exact_match,county_public_safety|project>sort,county_public_safety|project>sort,1,0,10
correct_exact_match,actor|project>sort,actor|project>sort,1,0,10
correct_exact_match,Student|group>match>project,Student|group>match>project,1,0,10
correct_execution_not_exact,Subjects|unwind>project>match>project,Course_Authors_and_Tutors|unwind>unwind>group>match>project,1,0,10
correct_exact_match,shop|project>sort,shop|project>sort,1,0,10
stage_mismatch,Student|sort>limit>project,Student|lookup>group>project>limit>unwind>match>project>project,0,1,10
correct_execution_not_exact,Student|group>project,Student|group>project,1,0,10
correct_execution_not_exact,aircraft|unwind>match>project,aircraft|unwind>match>project,1,0,10
correct_execution_not_exact,Student|group>project,Student|none,1,0,10
correct_execution_not_exact,Faculty|match>project,Faculty|match>project,1,0,10
correct_exact_match,school|project>sort,school|project>sort,1,0,10
correct_execution_not_exact,gas_station|lookup>match>project,gas_station|unwind>lookup>unwind>match>project,1,0,10
correct_exact_match,Student|group>sort>limit>project,Student|group>sort>limit>project,1,0,10
correct_exact_match,company|project>sort,company|project>sort,1,0,10
correct_exact_match,employee|match>project,employee|match>project,1,0,10
correct_exact_match,Allergy_Type|group>sort>limit>project,Allergy_Type|group>sort>limit>project,1,0,10
correct_execution_not_exact,Subjects|unwind>unwind>unwind>match>project,Students|unwind>unwind>match>project,1,0,10
correct_execution_not_exact,departments|unwind>match>project,jobs|unwind>match>project,1,0,10
correct_execution_not_exact,university|match>group>project,university|match>group>project,1,0,10
correct_execution_not_exact,school|lookup>unwind>project,driver|unwind>lookup>unwind>project,1,0,5
correct_exact_match,cinema|project,cinema|project,1,0,5
correct_execution_not_exact,pilot|group>sort>limit>project,pilot|group>sort>limit>project,1,0,5
same_fields_wrong_values,Student|match>regex>project,Student|none,0,1,5
