db_id,failure_bucket,passed_EX,failed_EX,count
flight_1,correct_execution_not_exact,1,0,136
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,131
e_learning,correct_execution_not_exact,1,0,120
college_3,correct_execution_not_exact,1,0,113
hr_1,correct_execution_not_exact,1,0,102
allergy_1,correct_execution_not_exact,1,0,99
flight_4,correct_execution_not_exact,1,0,98
school_bus,correct_execution_not_exact,1,0,66
wine_1,correct_execution_not_exact,1,0,64
university_basketball,correct_execution_not_exact,1,0,58
ship_1,correct_execution_not_exact,1,0,54
gas_company,correct_execution_not_exact,1,0,54
customer_complaints,correct_execution_not_exact,1,0,53
flight_1,correct_exact_match,1,0,50
cinema,correct_execution_not_exact,1,0,49
school_player,correct_execution_not_exact,1,0,49
device,correct_execution_not_exact,1,0,49
climbing,correct_execution_not_exact,1,0,47
county_public_safety,correct_execution_not_exact,1,0,45
musical,correct_execution_not_exact,1,0,44
journal_committee,correct_execution_not_exact,1,0,41
pilot_record,correct_execution_not_exact,1,0,39
machine_repair,correct_execution_not_exact,1,0,37
hr_1,result_field_name_mismatch,0,1,35
county_public_safety,correct_exact_match,1,0,35
voter_1,correct_execution_not_exact,1,0,35
e_learning,result_field_name_mismatch,0,1,33
voter_2,correct_execution_not_exact,1,0,33
university_basketball,result_field_name_mismatch,0,1,31
allergy_1,correct_exact_match,1,0,28
wine_1,same_shape_fields_wrong_values,0,1,26
allergy_1,result_field_name_mismatch,0,1,24
climbing,correct_exact_match,1,0,24
voter_2,correct_exact_match,1,0,23
wine_1,same_fields_wrong_values,0,1,22
allergy_1,same_shape_fields_wrong_values,0,1,22
cinema,correct_exact_match,1,0,20
cre_Docs_and_Epenses,stage_mismatch,0,1,20
cre_Docs_and_Epenses,correct_exact_match,1,0,19
voter_1,correct_exact_match,1,0,18
ship_1,correct_exact_match,1,0,17
university_basketball,correct_exact_match,1,0,17
flight_4,query_field_mismatch,0,1,17
cre_Docs_and_Epenses,same_fields_wrong_values,0,1,16
college_3,stage_mismatch,0,1,15
