db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,194
e_learning,correct_execution_not_exact,1,0,182
flight_1,correct_execution_not_exact,1,0,164
hr_1,correct_execution_not_exact,1,0,154
allergy_1,correct_execution_not_exact,1,0,142
wine_1,correct_execution_not_exact,1,0,138
flight_4,correct_execution_not_exact,1,0,125
college_3,correct_execution_not_exact,1,0,111
gas_company,correct_execution_not_exact,1,0,90
university_basketball,correct_execution_not_exact,1,0,84
cinema,correct_execution_not_exact,1,0,77
device,correct_execution_not_exact,1,0,74
ship_1,correct_execution_not_exact,1,0,70
school_player,correct_execution_not_exact,1,0,67
musical,correct_execution_not_exact,1,0,65
climbing,correct_execution_not_exact,1,0,65
school_bus,correct_execution_not_exact,1,0,60
county_public_safety,correct_execution_not_exact,1,0,59
customer_complaints,correct_execution_not_exact,1,0,54
voter_2,correct_execution_not_exact,1,0,50
machine_repair,correct_execution_not_exact,1,0,47
journal_committee,correct_execution_not_exact,1,0,45
pilot_record,correct_execution_not_exact,1,0,45
flight_1,correct_exact_match,1,0,35
voter_1,correct_execution_not_exact,1,0,30
county_public_safety,correct_exact_match,1,0,27
school_bus,correct_exact_match,1,0,25
voter_1,correct_exact_match,1,0,25
journal_committee,correct_exact_match,1,0,20
allergy_1,correct_exact_match,1,0,20
voter_2,correct_exact_match,1,0,20
college_3,same_fields_wrong_values,0,1,19
hr_1,extra_prediction_fields,0,1,16
customer_complaints,stage_mismatch,0,1,16
climbing,correct_exact_match,1,0,15
university_basketball,correct_exact_match,1,0,15
college_3,correct_exact_match,1,0,15
allergy_1,same_fields_wrong_values,0,1,15
cinema,correct_exact_match,1,0,13
machine_repair,stage_mismatch,0,1,13
pilot_record,correct_exact_match,1,0,10
wine_1,correct_exact_match,1,0,10
university_basketball,result_field_name_mismatch,0,1,10
allergy_1,result_field_name_mismatch,0,1,10
college_3,result_field_name_mismatch,0,1,10
hr_1,empty_prediction_result,0,1,10
flight_4,result_field_name_mismatch,0,1,10
college_3,stage_mismatch,0,1,9
hr_1,correct_exact_match,1,0,7
flight_4,empty_prediction_result,0,1,7
flight_1,stage_mismatch,0,1,6
wine_1,same_fields_wrong_values,0,1,6
university_basketball,stage_mismatch,0,1,6
hr_1,stage_mismatch,0,1,5
device,correct_exact_match,1,0,5
ship_1,correct_exact_match,1,0,5
cinema,same_fields_wrong_values,0,1,5
flight_1,same_fields_wrong_values,0,1,5
flight_4,correct_exact_match,1,0,5
climbing,stage_mismatch,0,1,5
ship_1,result_field_name_mismatch,0,1,5
school_player,same_fields_wrong_values,0,1,5
customer_complaints,same_fields_wrong_values,0,1,5
flight_1,result_field_name_mismatch,0,1,5
customer_complaints,result_field_name_mismatch,0,1,5
climbing,same_fields_wrong_values,0,1,5
climbing,result_field_name_mismatch,0,1,5
flight_4,same_shape_fields_wrong_values,0,1,5
voter_1,same_fields_wrong_values,0,1,5
cre_Docs_and_Epenses,correct_exact_match,1,0,5
college_3,extra_prediction_fields,0,1,5
e_learning,result_field_name_mismatch,0,1,5
e_learning,extra_prediction_fields,0,1,5
voter_2,empty_prediction_result,0,1,5
musical,same_fields_wrong_values,0,1,5
device,result_field_name_mismatch,0,1,5
gas_company,correct_exact_match,1,0,5
journal_committee,stage_mismatch,0,1,5
county_public_safety,stage_mismatch,0,1,4
device,stage_mismatch,0,1,4
musical,stage_mismatch,0,1,4
ship_1,stage_mismatch,0,1,4
allergy_1,same_shape_fields_wrong_values,0,1,3
flight_4,stage_mismatch,0,1,3
hr_1,same_shape_fields_wrong_values,0,1,3
school_player,correct_exact_match,1,0,3
e_learning,same_fields_wrong_values,0,1,3
device,same_fields_wrong_values,0,1,2
wine_1,stage_mismatch,0,1,1
cre_Docs_and_Epenses,empty_prediction_result,0,1,1
musical,correct_exact_match,1,0,1
ship_1,empty_prediction_result,0,1,1
college_3,same_shape_fields_wrong_values,0,1,1
