db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,183
flight_1,correct_execution_not_exact,1,0,162
e_learning,correct_execution_not_exact,1,0,162
wine_1,correct_execution_not_exact,1,0,128
allergy_1,correct_execution_not_exact,1,0,125
college_3,correct_execution_not_exact,1,0,112
hr_1,correct_execution_not_exact,1,0,112
flight_4,correct_execution_not_exact,1,0,97
gas_company,correct_execution_not_exact,1,0,83
university_basketball,correct_execution_not_exact,1,0,72
cinema,correct_execution_not_exact,1,0,66
ship_1,correct_execution_not_exact,1,0,65
device,correct_execution_not_exact,1,0,64
musical,correct_execution_not_exact,1,0,62
climbing,correct_execution_not_exact,1,0,61
school_bus,correct_execution_not_exact,1,0,58
school_player,correct_execution_not_exact,1,0,57
county_public_safety,correct_execution_not_exact,1,0,56
customer_complaints,correct_execution_not_exact,1,0,55
voter_2,correct_execution_not_exact,1,0,50
machine_repair,correct_execution_not_exact,1,0,49
journal_committee,correct_execution_not_exact,1,0,46
pilot_record,correct_execution_not_exact,1,0,43
voter_1,correct_execution_not_exact,1,0,37
flight_1,correct_exact_match,1,0,28
school_bus,correct_exact_match,1,0,24
county_public_safety,correct_exact_match,1,0,23
hr_1,result_field_name_mismatch,0,1,22
allergy_1,correct_exact_match,1,0,20
hr_1,extra_prediction_fields,0,1,19
university_basketball,correct_exact_match,1,0,18
journal_committee,correct_exact_match,1,0,17
allergy_1,stage_mismatch,0,1,17
voter_1,correct_exact_match,1,0,17
voter_2,correct_exact_match,1,0,17
flight_4,extra_prediction_fields,0,1,16
climbing,correct_exact_match,1,0,14
college_3,correct_exact_match,1,0,14
allergy_1,result_field_name_mismatch,0,1,13
college_3,result_field_name_mismatch,0,1,13
cinema,correct_exact_match,1,0,13
university_basketball,result_field_name_mismatch,0,1,12
hr_1,empty_prediction_result,0,1,12
flight_4,result_field_name_mismatch,0,1,12
hr_1,query_field_mismatch,0,1,11
e_learning,same_fields_wrong_values,0,1,11
customer_complaints,stage_mismatch,0,1,11
wine_1,correct_exact_match,1,0,10
e_learning,extra_prediction_fields,0,1,10
college_3,stage_mismatch,0,1,10
flight_4,correct_exact_match,1,0,10
climbing,same_fields_wrong_values,0,1,10
cinema,same_fields_wrong_values,0,1,9
college_3,same_fields_wrong_values,0,1,9
hr_1,correct_exact_match,1,0,9
flight_4,empty_prediction_result,0,1,9
device,extra_prediction_fields,0,1,9
ship_1,correct_exact_match,1,0,8
pilot_record,correct_exact_match,1,0,7
wine_1,same_fields_wrong_values,0,1,7
flight_1,empty_prediction_result,0,1,7
device,result_field_name_mismatch,0,1,6
school_player,extra_prediction_fields,0,1,6
university_basketball,stage_mismatch,0,1,6
wine_1,extra_prediction_fields,0,1,6
hr_1,same_shape_fields_wrong_values,0,1,6
ship_1,result_field_name_mismatch,0,1,6
college_3,extra_prediction_fields,0,1,6
allergy_1,extra_prediction_fields,0,1,6
school_player,same_fields_wrong_values,0,1,6
climbing,result_field_name_mismatch,0,1,6
machine_repair,stage_mismatch,0,1,6
school_player,correct_exact_match,1,0,5
customer_complaints,same_fields_wrong_values,0,1,5
flight_1,result_field_name_mismatch,0,1,5
customer_complaints,result_field_name_mismatch,0,1,5
gas_company,same_fields_wrong_values,0,1,5
cinema,result_field_name_mismatch,0,1,5
e_learning,result_field_name_mismatch,0,1,5
voter_2,empty_prediction_result,0,1,5
musical,same_fields_wrong_values,0,1,5
journal_committee,stage_mismatch,0,1,5
pilot_record,extra_prediction_fields,0,1,4
hr_1,stage_mismatch,0,1,4
device,correct_exact_match,1,0,4
county_public_safety,empty_prediction_result,0,1,4
flight_1,same_fields_wrong_values,0,1,4
customer_complaints,extra_prediction_fields,0,1,4
allergy_1,empty_prediction_result,0,1,4
flight_4,same_shape_fields_wrong_values,0,1,4
musical,correct_exact_match,1,0,4
cre_Docs_and_Epenses,correct_exact_match,1,0,4
flight_4,missing_prediction_fields,0,1,4
gas_company,extra_prediction_fields,0,1,3
allergy_1,same_shape_fields_wrong_values,0,1,3
cre_Docs_and_Epenses,extra_prediction_fields,0,1,3
flight_1,query_field_mismatch,0,1,3
flight_1,extra_prediction_fields,0,1,3
wine_1,stage_mismatch,0,1,3
flight_1,stage_mismatch,0,1,3
college_3,same_shape_fields_wrong_values,0,1,3
cre_Docs_and_Epenses,same_fields_wrong_values,0,1,3
county_public_safety,same_fields_wrong_values,0,1,3
university_basketball,empty_prediction_result,0,1,3
machine_repair,extra_prediction_fields,0,1,3
device,stage_mismatch,0,1,3
cre_Docs_and_Epenses,result_field_name_mismatch,0,1,3
voter_1,same_fields_wrong_values,0,1,3
gas_company,correct_exact_match,1,0,3
school_bus,extra_prediction_fields,0,1,2
ship_1,same_shape_fields_wrong_values,0,1,2
voter_1,extra_prediction_fields,0,1,2
flight_4,stage_mismatch,0,1,2
county_public_safety,stage_mismatch,0,1,2
climbing,stage_mismatch,0,1,2
ship_1,empty_prediction_result,0,1,2
cre_Docs_and_Epenses,same_shape_fields_wrong_values,0,1,2
machine_repair,same_fields_wrong_values,0,1,2
voter_2,extra_prediction_fields,0,1,2
device,same_fields_wrong_values,0,1,2
allergy_1,same_fields_wrong_values,0,1,2
university_basketball,same_fields_wrong_values,0,1,2
musical,extra_prediction_fields,0,1,2
cre_Docs_and_Epenses,empty_prediction_result,0,1,2
e_learning,stage_mismatch,0,1,2
county_public_safety,extra_prediction_fields,0,1,2
e_learning,empty_prediction_result,0,1,2
college_3,query_field_mismatch,0,1,2
wine_1,empty_prediction_result,0,1,1
e_learning,query_field_mismatch,0,1,1
school_player,stage_mismatch,0,1,1
journal_committee,extra_prediction_fields,0,1,1
ship_1,extra_prediction_fields,0,1,1
e_learning,extra_prediction_result,0,1,1
journal_committee,same_shape_fields_wrong_values,0,1,1
voter_2,same_fields_wrong_values,0,1,1
climbing,extra_prediction_fields,0,1,1
voter_1,stage_mismatch,0,1,1
ship_1,same_fields_wrong_values,0,1,1
musical,query_field_mismatch,0,1,1
cinema,stage_mismatch,0,1,1
device,extra_prediction_result,0,1,1
college_3,missing_prediction_fields,0,1,1
device,empty_prediction_result,0,1,1
e_learning,same_shape_fields_wrong_values,0,1,1
pilot_record,stage_mismatch,0,1,1
gas_company,same_shape_fields_wrong_values,0,1,1
flight_4,same_fields_wrong_values,0,1,1
musical,stage_mismatch,0,1,1
climbing,empty_prediction_result,0,1,1
school_bus,same_fields_wrong_values,0,1,1
university_basketball,same_shape_fields_wrong_values,0,1,1
university_basketball,extra_prediction_fields,0,1,1
cinema,extra_prediction_fields,0,1,1
