failure_bucket,target_signature,prediction_signature,passed_EX,failed_EX,count
correct_exact_match,Student|group>project,Student|group>project,1,0,27
correct_exact_match,Student|match>project,Student|match>project,1,0,24
correct_execution_not_exact,Student|match>project,Student|match>project,1,0,23
correct_execution_not_exact,Student|group>project,Student|group>project,1,0,20
correct_execution_not_exact,Department|match>project,Department|match>project,1,0,17
correct_execution_not_exact,Projects|unwind>match>project,Projects|unwind>match>project,1,0,15
correct_execution_not_exact,airports|match>project,airports|match>project,1,0,14
correct_execution_not_exact,aircraft|unwind>match>project,aircraft|unwind>match>project,1,0,14
correct_execution_not_exact,Student|group>match>project,Student|group>match>project,1,0,13
correct_execution_not_exact,airports|sort>limit>project,airports|sort>limit>project,1,0,12
correct_execution_not_exact,jobs|unwind>match>project,jobs|unwind>match>project,1,0,11
correct_execution_not_exact,gas_station|project>sort,gas_station|sort>project,1,0,10
correct_execution_not_exact,company|group>project,company|group>project,1,0,10
correct_exact_match,aircraft|unwind>match>project,aircraft|unwind>match>project,1,0,10
correct_execution_not_exact,employee|sort>limit>project,employee|sort>limit>project,1,0,10
correct_execution_not_exact,county_public_safety|project>sort,county_public_safety|sort>project,1,0,10
correct_execution_not_exact,school|project>sort,school|sort>project,1,0,10
correct_execution_not_exact,employee|match>project,employee|match>project,1,0,10
correct_execution_not_exact,Customers|match>project,Customers|match>project,1,0,10
correct_execution_not_exact,airports|group>match>project,airports|group>match>project,1,0,10
correct_execution_not_exact,company|project>sort,company|sort>project,1,0,10
correct_execution_not_exact,university|match>group>project,university|match>group>project,1,0,10
correct_execution_not_exact,Students|match>unwind>project,Students|match>unwind>project,1,0,10
correct_exact_match,Faculty|match>project,Faculty|match>project,1,0,9
correct_execution_not_exact,editor|match>project,editor|match>project,1,0,9
correct_execution_not_exact,Projects|unwind>unwind>unwind>project,Projects|unwind>unwind>unwind>project,1,0,9
correct_execution_not_exact,driver|group>project,driver|group>project,1,0,9
correct_exact_match,aircraft|unwind>group>project,aircraft|unwind>group>project,1,0,9
correct_exact_match,university|match>project,university|match>project,1,0,9
correct_execution_not_exact,Projects|unwind>project>match>project,Projects|unwind>match>project,1,0,9
correct_execution_not_exact,appellations|unwind>match>project,grapes|unwind>match>project,1,0,9
correct_exact_match,Department|unwind>match>project,Department|unwind>match>project,1,0,9
correct_exact_match,mountain|unwind>match>group>project,mountain|unwind>match>group>project,1,0,9
correct_exact_match,cinema|group>project,cinema|group>project,1,0,9
correct_exact_match,employee|match>project,employee|match>project,1,0,9
correct_execution_not_exact,departments|match>unwind>project,departments|match>unwind>project,1,0,9
correct_execution_not_exact,Projects|project>match>project,Projects|unwind>group>match>project,1,0,8
correct_execution_not_exact,departments|unwind>lookup>unwind>unwind>match>expr>eq>project>unwind>project,regions|unwind>unwind>lookup>unwind>unwind>project,1,0,8
correct_exact_match,technician|match>project,technician|match>project,1,0,8
correct_exact_match,driver|match>project,driver|match>project,1,0,8
correct_execution_not_exact,shop|project>sort,shop|sort>project,1,0,8
correct_execution_not_exact,Student|group>sort>limit>project,Student|group>sort>limit>project,1,0,8
correct_exact_match,school|group>match>project,school|group>match>project,1,0,8
correct_execution_not_exact,Student|match>count,Student|match>group>project,1,0,8
correct_execution_not_exact,pilot|match>project,pilot|match>project,1,0,8
correct_execution_not_exact,departments|unwind>group>project,departments|unwind>group>project,1,0,7
correct_execution_not_exact,university|sort>limit>project,university|sort>limit>project,1,0,7
correct_exact_match,Students|match>project,Students|match>project,1,0,7
correct_execution_not_exact,appellations|unwind>match>group>sort>limit>project,appellations|unwind>match>group>sort>limit>project,1,0,7
correct_execution_not_exact,Students|match>project,Students|match>project,1,0,7
correct_execution_not_exact,mountain|match>project,mountain|match>project,1,0,7
correct_exact_match,cinema|match>group>match>project,cinema|match>group>match>project,1,0,7
correct_execution_not_exact,school|unwind>project,school|unwind>project,1,0,7
correct_execution_not_exact,jobs|unwind>match>not>project,jobs|unwind>match>project,1,0,6
correct_execution_not_exact,Course_Authors_and_Tutors|unwind>match>project,Course_Authors_and_Tutors|unwind>match>project,1,0,6
correct_execution_not_exact,Faculty|match>project,Faculty|unwind>match>project,1,0,6
correct_exact_match,editor|match>project,editor|match>project,1,0,6
correct_exact_match,musical|group>sort>limit>project,musical|group>sort>limit>project,1,0,6
correct_execution_not_exact,actor|project>sort,actor|sort>project,1,0,6
correct_exact_match,airports|match>project,airports|match>project,1,0,6
correct_execution_not_exact,Student|sort>limit>project,Student|sort>limit>project,1,0,6
