db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,152
flight_1,correct_execution_not_exact,1,0,129
e_learning,correct_execution_not_exact,1,0,118
hr_1,correct_execution_not_exact,1,0,105
college_3,correct_execution_not_exact,1,0,95
allergy_1,correct_execution_not_exact,1,0,88
wine_1,correct_execution_not_exact,1,0,68
flight_4,correct_execution_not_exact,1,0,68
ship_1,correct_execution_not_exact,1,0,59
cinema,correct_execution_not_exact,1,0,56
school_bus,correct_execution_not_exact,1,0,48
climbing,correct_execution_not_exact,1,0,48
customer_complaints,correct_execution_not_exact,1,0,46
musical,correct_execution_not_exact,1,0,43
university_basketball,correct_execution_not_exact,1,0,43
machine_repair,correct_execution_not_exact,1,0,40
school_player,correct_execution_not_exact,1,0,39
journal_committee,correct_execution_not_exact,1,0,38
county_public_safety,correct_execution_not_exact,1,0,38
device,correct_execution_not_exact,1,0,37
gas_company,correct_execution_not_exact,1,0,33
e_learning,result_field_name_mismatch,0,1,32
wine_1,same_shape_fields_wrong_values,0,1,32
flight_1,correct_exact_match,1,0,32
voter_2,correct_execution_not_exact,1,0,31
university_basketball,result_field_name_mismatch,0,1,30
hr_1,result_field_name_mismatch,0,1,30
gas_company,stage_mismatch,0,1,29
voter_1,correct_execution_not_exact,1,0,29
pilot_record,correct_execution_not_exact,1,0,27
college_3,stage_mismatch,0,1,26
allergy_1,result_field_name_mismatch,0,1,24
flight_1,stage_mismatch,0,1,23
device,stage_mismatch,0,1,22
hr_1,same_shape_fields_wrong_values,0,1,22
county_public_safety,correct_exact_match,1,0,22
wine_1,same_fields_wrong_values,0,1,21
voter_1,correct_exact_match,1,0,20
cre_Docs_and_Epenses,stage_mismatch,0,1,20
university_basketball,stage_mismatch,0,1,19
school_bus,correct_exact_match,1,0,19
school_player,stage_mismatch,0,1,18
allergy_1,extra_prediction_fields,0,1,18
county_public_safety,stage_mismatch,0,1,17
university_basketball,correct_exact_match,1,0,17
flight_4,same_shape_fields_wrong_values,0,1,17
voter_2,correct_exact_match,1,0,17
machine_repair,stage_mismatch,0,1,17
college_3,same_fields_wrong_values,0,1,16
e_learning,same_fields_wrong_values,0,1,16
pilot_record,stage_mismatch,0,1,16
allergy_1,same_shape_fields_wrong_values,0,1,15
allergy_1,stage_mismatch,0,1,15
allergy_1,correct_exact_match,1,0,15
climbing,correct_exact_match,1,0,15
flight_4,extra_prediction_fields,0,1,15
musical,stage_mismatch,0,1,15
flight_4,correct_exact_match,1,0,14
flight_4,stage_mismatch,0,1,14
climbing,same_fields_wrong_values,0,1,14
customer_complaints,stage_mismatch,0,1,14
college_3,correct_exact_match,1,0,14
flight_4,result_field_name_mismatch,0,1,13
e_learning,extra_prediction_fields,0,1,12
allergy_1,empty_prediction_result,0,1,12
journal_committee,correct_exact_match,1,0,11
wine_1,result_field_name_mismatch,0,1,11
hr_1,extra_prediction_fields,0,1,10
cre_Docs_and_Epenses,extra_prediction_fields,0,1,10
college_3,result_field_name_mismatch,0,1,10
flight_4,empty_prediction_result,0,1,10
cinema,result_field_name_mismatch,0,1,10
hr_1,empty_prediction_result,0,1,10
gas_company,result_field_name_mismatch,0,1,10
musical,result_field_name_mismatch,0,1,10
climbing,result_field_name_mismatch,0,1,10
voter_2,extra_prediction_fields,0,1,10
device,result_field_name_mismatch,0,1,10
cinema,same_fields_wrong_values,0,1,9
flight_1,same_fields_wrong_values,0,1,9
device,extra_prediction_fields,0,1,9
cinema,correct_exact_match,1,0,9
customer_complaints,same_fields_wrong_values,0,1,9
gas_company,same_fields_wrong_values,0,1,9
e_learning,stage_mismatch,0,1,9
journal_committee,stage_mismatch,0,1,9
county_public_safety,extra_prediction_fields,0,1,8
hr_1,correct_exact_match,1,0,8
school_player,same_fields_wrong_values,0,1,8
wine_1,correct_exact_match,1,0,7
hr_1,stage_mismatch,0,1,7
voter_2,empty_prediction_result,0,1,7
school_bus,stage_mismatch,0,1,6
ship_1,correct_exact_match,1,0,6
flight_1,same_shape_fields_wrong_values,0,1,6
pilot_record,result_field_name_mismatch,0,1,6
wine_1,stage_mismatch,0,1,6
ship_1,result_field_name_mismatch,0,1,6
device,same_fields_wrong_values,0,1,6
school_bus,result_field_name_mismatch,0,1,6
flight_1,empty_prediction_result,0,1,6
voter_2,same_shape_fields_wrong_values,0,1,6
customer_complaints,result_field_name_mismatch,0,1,6
wine_1,extra_prediction_fields,0,1,6
pilot_record,extra_prediction_fields,0,1,5
ship_1,extra_prediction_fields,0,1,5
school_player,result_field_name_mismatch,0,1,5
gas_company,extra_prediction_fields,0,1,5
customer_complaints,extra_prediction_fields,0,1,5
flight_1,result_field_name_mismatch,0,1,5
cre_Docs_and_Epenses,correct_exact_match,1,0,5
e_learning,same_shape_fields_wrong_values,0,1,5
journal_committee,result_field_name_mismatch,0,1,5
voter_1,same_fields_wrong_values,0,1,5
musical,same_fields_wrong_values,0,1,5
voter_1,stage_mismatch,0,1,5
college_3,query_field_mismatch,0,1,4
device,correct_exact_match,1,0,4
school_bus,extra_prediction_fields,0,1,4
journal_committee,same_shape_fields_wrong_values,0,1,4
voter_2,same_fields_wrong_values,0,1,4
climbing,stage_mismatch,0,1,4
cinema,query_field_mismatch,0,1,4
cre_Docs_and_Epenses,result_field_name_mismatch,0,1,4
school_player,extra_prediction_fields,0,1,4
college_3,extra_prediction_fields,0,1,4
flight_4,missing_prediction_fields,0,1,4
gas_company,correct_exact_match,1,0,4
gas_company,same_shape_fields_wrong_values,0,1,3
journal_committee,extra_prediction_fields,0,1,3
climbing,extra_prediction_fields,0,1,3
flight_1,query_field_mismatch,0,1,3
cre_Docs_and_Epenses,same_shape_fields_wrong_values,0,1,3
allergy_1,same_fields_wrong_values,0,1,3
university_basketball,empty_prediction_result,0,1,3
machine_repair,extra_prediction_fields,0,1,3
e_learning,correct_exact_match,1,0,3
cinema,extra_prediction_fields,0,1,3
ship_1,stage_mismatch,0,1,3
wine_1,empty_prediction_result,0,1,2
ship_1,same_shape_fields_wrong_values,0,1,2
musical,extra_prediction_fields,0,1,2
ship_1,empty_prediction_result,0,1,2
cre_Docs_and_Epenses,same_fields_wrong_values,0,1,2
county_public_safety,empty_prediction_result,0,1,2
cre_Docs_and_Epenses,empty_prediction_result,0,1,2
county_public_safety,same_shape_fields_wrong_values,0,1,2
cre_Docs_and_Epenses,missing_prediction_fields,0,1,2
cinema,same_shape_fields_wrong_values,0,1,2
gas_company,empty_prediction_result,0,1,2
hr_1,same_fields_wrong_values,0,1,2
ship_1,query_field_mismatch,0,1,2
university_basketball,same_shape_fields_wrong_values,0,1,2
county_public_safety,missing_prediction_fields,0,1,1
wine_1,query_field_mismatch,0,1,1
school_player,correct_exact_match,1,0,1
voter_1,extra_prediction_fields,0,1,1
college_3,same_shape_fields_wrong_values,0,1,1
cinema,missing_prediction_fields,0,1,1
cinema,stage_mismatch,0,1,1
device,extra_prediction_result,0,1,1
device,empty_prediction_result,0,1,1
wine_1,missing_prediction_fields,0,1,1
school_bus,missing_prediction_fields,0,1,1
flight_1,missing_prediction_fields,0,1,1
flight_1,extra_prediction_fields,0,1,1
climbing,empty_prediction_result,0,1,1
university_basketball,missing_prediction_fields,0,1,1
pilot_record,same_fields_wrong_values,0,1,1
school_bus,same_fields_wrong_values,0,1,1
hr_1,query_field_mismatch,0,1,1
