db_id,failure_bucket,passed_EX,failed_EX,count
hr_1,correct_execution_not_exact,1,0,110
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,100
flight_1,correct_execution_not_exact,1,0,95
e_learning,correct_execution_not_exact,1,0,95
flight_1,correct_exact_match,1,0,85
college_3,correct_execution_not_exact,1,0,80
flight_4,correct_execution_not_exact,1,0,70
county_public_safety,correct_execution_not_exact,1,0,60
allergy_1,correct_exact_match,1,0,60
allergy_1,correct_execution_not_exact,1,0,60
ship_1,correct_execution_not_exact,1,0,55
school_bus,correct_execution_not_exact,1,0,55
cre_Docs_and_Epenses,correct_exact_match,1,0,55
wine_1,correct_execution_not_exact,1,0,50
device,correct_execution_not_exact,1,0,50
journal_committee,correct_execution_not_exact,1,0,50
voter_1,correct_execution_not_exact,1,0,50
flight_4,correct_exact_match,1,0,50
university_basketball,correct_execution_not_exact,1,0,50
climbing,correct_execution_not_exact,1,0,50
cinema,correct_execution_not_exact,1,0,45
pilot_record,correct_execution_not_exact,1,0,40
e_learning,correct_exact_match,1,0,40
gas_company,correct_execution_not_exact,1,0,40
voter_2,correct_execution_not_exact,1,0,35
university_basketball,correct_exact_match,1,0,35
gas_company,correct_exact_match,1,0,35
college_3,stage_mismatch,0,1,35
customer_complaints,correct_execution_not_exact,1,0,35
musical,correct_execution_not_exact,1,0,35
e_learning,result_field_name_mismatch,0,1,30
school_player,correct_exact_match,1,0,30
school_player,correct_execution_not_exact,1,0,30
hr_1,stage_mismatch,0,1,30
voter_2,correct_exact_match,1,0,30
wine_1,correct_exact_match,1,0,25
university_basketball,result_field_name_mismatch,0,1,25
county_public_safety,correct_exact_match,1,0,25
climbing,correct_exact_match,1,0,25
cre_Docs_and_Epenses,stage_mismatch,0,1,25
flight_4,query_field_mismatch,0,1,25
machine_repair,correct_exact_match,1,0,25
hr_1,result_field_name_mismatch,0,1,20
wine_1,same_shape_fields_wrong_values,0,1,20
machine_repair,correct_execution_not_exact,1,0,20
ship_1,correct_exact_match,1,0,20
allergy_1,missing_prediction_fields,0,1,20
allergy_1,result_field_name_mismatch,0,1,20
wine_1,same_fields_wrong_values,0,1,20
musical,correct_exact_match,1,0,20
college_3,correct_exact_match,1,0,20
cinema,correct_exact_match,1,0,20
device,correct_exact_match,1,0,20
e_learning,stage_mismatch,0,1,20
wine_1,stage_mismatch,0,1,15
allergy_1,same_shape_fields_wrong_values,0,1,15
customer_complaints,correct_exact_match,1,0,15
college_3,same_shape_fields_wrong_values,0,1,15
allergy_1,stage_mismatch,0,1,15
flight_1,stage_mismatch,0,1,15
machine_repair,stage_mismatch,0,1,15
school_bus,stage_mismatch,0,1,10
cre_Docs_and_Epenses,same_fields_wrong_values,0,1,10
flight_1,same_shape_fields_wrong_values,0,1,10
school_bus,correct_exact_match,1,0,10
cinema,missing_prediction_fields,0,1,10
college_3,result_field_name_mismatch,0,1,10
customer_complaints,same_shape_fields_wrong_values,0,1,10
hr_1,same_fields_wrong_values,0,1,10
climbing,same_fields_wrong_values,0,1,10
customer_complaints,stage_mismatch,0,1,10
gas_company,result_field_name_mismatch,0,1,10
musical,result_field_name_mismatch,0,1,10
hr_1,query_field_mismatch,0,1,10
school_player,same_fields_wrong_values,0,1,10
climbing,result_field_name_mismatch,0,1,10
cre_Docs_and_Epenses,same_shape_fields_wrong_values,0,1,10
flight_4,result_field_name_mismatch,0,1,10
wine_1,result_field_name_mismatch,0,1,10
wine_1,query_field_mismatch,0,1,10
device,stage_mismatch,0,1,10
device,result_field_name_mismatch,0,1,10
voter_1,correct_exact_match,1,0,10
hr_1,same_shape_fields_wrong_values,0,1,10
college_3,missing_prediction_fields,0,1,5
flight_1,same_fields_wrong_values,0,1,5
musical,missing_prediction_fields,0,1,5
hr_1,correct_exact_match,1,0,5
pilot_record,missing_prediction_fields,0,1,5
school_bus,missing_prediction_fields,0,1,5
wine_1,empty_prediction_result,0,1,5
school_player,result_field_name_mismatch,0,1,5
journal_committee,same_shape_fields_wrong_values,0,1,5
e_learning,same_fields_wrong_values,0,1,5
pilot_record,result_field_name_mismatch,0,1,5
gas_company,stage_mismatch,0,1,5
cinema,result_field_name_mismatch,0,1,5
musical,stage_mismatch,0,1,5
ship_1,result_field_name_mismatch,0,1,5
cinema,stage_mismatch,0,1,5
school_bus,result_field_name_mismatch,0,1,5
flight_1,result_field_name_mismatch,0,1,5
college_3,same_fields_wrong_values,0,1,5
county_public_safety,missing_prediction_fields,0,1,5
journal_committee,result_field_name_mismatch,0,1,5
customer_complaints,result_field_name_mismatch,0,1,5
pilot_record,stage_mismatch,0,1,5
cinema,same_shape_fields_wrong_values,0,1,5
e_learning,same_shape_fields_wrong_values,0,1,5
cinema,query_field_mismatch,0,1,5
journal_committee,missing_prediction_fields,0,1,5
customer_complaints,empty_prediction_result,0,1,5
university_basketball,same_fields_wrong_values,0,1,5
ship_1,same_shape_fields_wrong_values,0,1,5
voter_2,empty_prediction_result,0,1,5
gas_company,missing_prediction_fields,0,1,5
journal_committee,stage_mismatch,0,1,5
voter_2,same_shape_fields_wrong_values,0,1,5
