db_id,failure_bucket,passed_EX,failed_EX,count
hr_1,correct_execution_not_exact,1,0,180
e_learning,correct_execution_not_exact,1,0,145
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,140
college_3,correct_execution_not_exact,1,0,125
wine_1,correct_execution_not_exact,1,0,110
flight_1,correct_execution_not_exact,1,0,105
flight_1,correct_exact_match,1,0,105
allergy_1,correct_exact_match,1,0,90
flight_4,correct_execution_not_exact,1,0,85
allergy_1,correct_execution_not_exact,1,0,80
flight_4,correct_exact_match,1,0,70
ship_1,correct_execution_not_exact,1,0,65
university_basketball,correct_execution_not_exact,1,0,65
device,correct_execution_not_exact,1,0,60
county_public_safety,correct_execution_not_exact,1,0,60
cre_Docs_and_Epenses,correct_exact_match,1,0,60
cinema,correct_execution_not_exact,1,0,60
climbing,correct_execution_not_exact,1,0,60
school_bus,correct_execution_not_exact,1,0,55
gas_company,correct_execution_not_exact,1,0,55
e_learning,correct_exact_match,1,0,50
customer_complaints,correct_execution_not_exact,1,0,50
voter_2,correct_exact_match,1,0,45
university_basketball,correct_exact_match,1,0,45
pilot_record,correct_execution_not_exact,1,0,40
gas_company,correct_exact_match,1,0,40
musical,correct_execution_not_exact,1,0,40
journal_committee,correct_execution_not_exact,1,0,40
cinema,correct_exact_match,1,0,35
school_player,correct_exact_match,1,0,35
school_player,correct_execution_not_exact,1,0,35
voter_1,correct_execution_not_exact,1,0,35
musical,correct_exact_match,1,0,35
wine_1,correct_exact_match,1,0,30
county_public_safety,correct_exact_match,1,0,30
school_bus,correct_exact_match,1,0,30
device,correct_exact_match,1,0,30
climbing,correct_exact_match,1,0,30
machine_repair,correct_exact_match,1,0,30
voter_1,correct_exact_match,1,0,25
voter_2,correct_execution_not_exact,1,0,25
college_3,correct_exact_match,1,0,25
machine_repair,correct_execution_not_exact,1,0,20
ship_1,correct_exact_match,1,0,20
customer_complaints,correct_exact_match,1,0,20
journal_committee,correct_exact_match,1,0,20
hr_1,correct_exact_match,1,0,15
allergy_1,stage_mismatch,0,1,15
pilot_record,correct_exact_match,1,0,15
college_3,stage_mismatch,0,1,10
machine_repair,stage_mismatch,0,1,10
college_3,same_fields_wrong_values,0,1,5
wine_1,empty_prediction_result,0,1,5
journal_committee,same_shape_fields_wrong_values,0,1,5
climbing,same_fields_wrong_values,0,1,5
customer_complaints,stage_mismatch,0,1,5
wine_1,same_shape_fields_wrong_values,0,1,5
school_player,same_fields_wrong_values,0,1,5
college_3,result_field_name_mismatch,0,1,5
customer_complaints,empty_prediction_result,0,1,5
university_basketball,same_fields_wrong_values,0,1,5
flight_1,stage_mismatch,0,1,5
voter_2,empty_prediction_result,0,1,5
wine_1,same_fields_wrong_values,0,1,5
allergy_1,same_fields_wrong_values,0,1,5
journal_committee,stage_mismatch,0,1,5
