db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,176
e_learning,correct_execution_not_exact,1,0,155
hr_1,correct_execution_not_exact,1,0,142
flight_1,correct_execution_not_exact,1,0,140
wine_1,correct_execution_not_exact,1,0,127
college_3,correct_execution_not_exact,1,0,110
allergy_1,correct_execution_not_exact,1,0,103
gas_company,correct_execution_not_exact,1,0,75
flight_4,correct_execution_not_exact,1,0,75
cinema,correct_execution_not_exact,1,0,65
university_basketball,correct_execution_not_exact,1,0,62
device,correct_execution_not_exact,1,0,60
ship_1,correct_execution_not_exact,1,0,59
school_player,correct_execution_not_exact,1,0,56
musical,correct_execution_not_exact,1,0,56
climbing,correct_execution_not_exact,1,0,55
county_public_safety,correct_execution_not_exact,1,0,52
journal_committee,correct_execution_not_exact,1,0,49
customer_complaints,correct_execution_not_exact,1,0,48
school_bus,correct_execution_not_exact,1,0,47
machine_repair,correct_execution_not_exact,1,0,45
pilot_record,correct_execution_not_exact,1,0,41
flight_1,correct_exact_match,1,0,40
voter_2,correct_execution_not_exact,1,0,37
school_bus,correct_exact_match,1,0,30
voter_1,correct_execution_not_exact,1,0,30
voter_1,correct_exact_match,1,0,24
allergy_1,correct_exact_match,1,0,23
county_public_safety,correct_exact_match,1,0,22
voter_2,correct_exact_match,1,0,20
flight_4,correct_exact_match,1,0,19
university_basketball,correct_exact_match,1,0,19
college_3,correct_exact_match,1,0,18
journal_committee,correct_exact_match,1,0,18
allergy_1,extra_prediction_fields,0,1,18
climbing,correct_exact_match,1,0,17
flight_1,stage_mismatch,0,1,16
university_basketball,result_field_name_mismatch,0,1,15
allergy_1,stage_mismatch,0,1,15
hr_1,correct_exact_match,1,0,15
flight_4,extra_prediction_fields,0,1,15
university_basketball,stage_mismatch,0,1,14
allergy_1,result_field_name_mismatch,0,1,14
flight_4,stage_mismatch,0,1,14
customer_complaints,stage_mismatch,0,1,14
flight_4,result_field_name_mismatch,0,1,13
college_3,same_fields_wrong_values,0,1,12
e_learning,extra_prediction_fields,0,1,12
allergy_1,empty_prediction_result,0,1,12
hr_1,extra_prediction_fields,0,1,11
college_3,stage_mismatch,0,1,11
cinema,correct_exact_match,1,0,11
e_learning,same_fields_wrong_values,0,1,11
hr_1,result_field_name_mismatch,0,1,10
cre_Docs_and_Epenses,extra_prediction_fields,0,1,10
college_3,result_field_name_mismatch,0,1,10
flight_4,empty_prediction_result,0,1,10
hr_1,empty_prediction_result,0,1,10
voter_2,extra_prediction_fields,0,1,10
cinema,same_fields_wrong_values,0,1,9
climbing,same_fields_wrong_values,0,1,9
device,extra_prediction_fields,0,1,9
ship_1,correct_exact_match,1,0,8
county_public_safety,extra_prediction_fields,0,1,8
school_player,same_fields_wrong_values,0,1,8
machine_repair,stage_mismatch,0,1,8
wine_1,correct_exact_match,1,0,7
pilot_record,correct_exact_match,1,0,7
gas_company,extra_prediction_fields,0,1,7
voter_2,empty_prediction_result,0,1,7
e_learning,result_field_name_mismatch,0,1,7
flight_1,same_fields_wrong_values,0,1,6
ship_1,result_field_name_mismatch,0,1,6
flight_1,empty_prediction_result,0,1,6
customer_complaints,result_field_name_mismatch,0,1,6
gas_company,same_fields_wrong_values,0,1,6
wine_1,extra_prediction_fields,0,1,6
pilot_record,extra_prediction_fields,0,1,5
wine_1,same_fields_wrong_values,0,1,5
e_learning,same_shape_fields_wrong_values,0,1,5
device,correct_exact_match,1,0,5
allergy_1,same_shape_fields_wrong_values,0,1,5
ship_1,extra_prediction_fields,0,1,5
customer_complaints,extra_prediction_fields,0,1,5
customer_complaints,same_fields_wrong_values,0,1,5
device,same_fields_wrong_values,0,1,5
flight_1,result_field_name_mismatch,0,1,5
cinema,result_field_name_mismatch,0,1,5
cre_Docs_and_Epenses,correct_exact_match,1,0,5
climbing,result_field_name_mismatch,0,1,5
flight_4,same_shape_fields_wrong_values,0,1,5
voter_1,same_fields_wrong_values,0,1,5
musical,stage_mismatch,0,1,5
musical,same_fields_wrong_values,0,1,5
device,result_field_name_mismatch,0,1,5
