db_id,failure_bucket,passed_EX,failed_EX,count
cre_Docs_and_Epenses,correct_execution_not_exact,1,0,169
e_learning,correct_execution_not_exact,1,0,148
hr_1,correct_execution_not_exact,1,0,145
flight_1,correct_execution_not_exact,1,0,140
wine_1,correct_execution_not_exact,1,0,121
college_3,correct_execution_not_exact,1,0,110
flight_4,correct_execution_not_exact,1,0,107
allergy_1,correct_execution_not_exact,1,0,104
gas_company,correct_execution_not_exact,1,0,78
flight_1,correct_exact_match,1,0,65
university_basketball,correct_execution_not_exact,1,0,61
device,correct_execution_not_exact,1,0,60
school_bus,correct_execution_not_exact,1,0,57
cinema,correct_execution_not_exact,1,0,57
school_player,correct_execution_not_exact,1,0,56
allergy_1,correct_exact_match,1,0,54
climbing,correct_execution_not_exact,1,0,52
ship_1,correct_execution_not_exact,1,0,50
musical,correct_execution_not_exact,1,0,48
customer_complaints,correct_execution_not_exact,1,0,47
pilot_record,correct_execution_not_exact,1,0,46
county_public_safety,correct_execution_not_exact,1,0,45
journal_committee,correct_execution_not_exact,1,0,41
voter_2,correct_exact_match,1,0,36
county_public_safety,correct_exact_match,1,0,35
voter_1,correct_execution_not_exact,1,0,33
voter_2,correct_execution_not_exact,1,0,32
machine_repair,correct_execution_not_exact,1,0,30
cinema,correct_exact_match,1,0,29
climbing,correct_exact_match,1,0,29
university_basketball,correct_exact_match,1,0,28
school_bus,correct_exact_match,1,0,26
voter_1,correct_exact_match,1,0,25
college_3,correct_exact_match,1,0,24
flight_4,correct_exact_match,1,0,23
ship_1,correct_exact_match,1,0,22
journal_committee,correct_exact_match,1,0,21
machine_repair,correct_exact_match,1,0,20
musical,correct_exact_match,1,0,19
cre_Docs_and_Epenses,correct_exact_match,1,0,19
device,correct_exact_match,1,0,16
university_basketball,result_field_name_mismatch,0,1,16
e_learning,correct_exact_match,1,0,16
wine_1,correct_exact_match,1,0,15
hr_1,result_field_name_mismatch,0,1,15
allergy_1,result_field_name_mismatch,0,1,14
college_3,stage_mismatch,0,1,13
customer_complaints,correct_exact_match,1,0,12
flight_4,result_field_name_mismatch,0,1,12
hr_1,correct_exact_match,1,0,11
college_3,result_field_name_mismatch,0,1,10
hr_1,empty_prediction_result,0,1,10
pilot_record,correct_exact_match,1,0,9
gas_company,correct_exact_match,1,0,9
customer_complaints,stage_mismatch,0,1,9
school_player,correct_exact_match,1,0,9
machine_repair,stage_mismatch,0,1,9
climbing,same_fields_wrong_values,0,1,8
e_learning,result_field_name_mismatch,0,1,8
wine_1,same_fields_wrong_values,0,1,7
allergy_1,stage_mismatch,0,1,7
cinema,same_fields_wrong_values,0,1,7
college_3,same_fields_wrong_values,0,1,6
device,result_field_name_mismatch,0,1,6
e_learning,extra_prediction_fields,0,1,6
ship_1,result_field_name_mismatch,0,1,6
e_learning,same_fields_wrong_values,0,1,6
wine_1,extra_prediction_fields,0,1,6
allergy_1,empty_prediction_result,0,1,6
e_learning,same_shape_fields_wrong_values,0,1,5
hr_1,same_shape_fields_wrong_values,0,1,5
customer_complaints,extra_prediction_fields,0,1,5
county_public_safety,extra_prediction_fields,0,1,5
school_player,same_fields_wrong_values,0,1,5
flight_1,result_field_name_mismatch,0,1,5
customer_complaints,result_field_name_mismatch,0,1,5
device,extra_prediction_fields,0,1,5
climbing,result_field_name_mismatch,0,1,5
school_player,extra_prediction_fields,0,1,5
e_learning,empty_prediction_result,0,1,5
university_basketball,stage_mismatch,0,1,5
voter_2,empty_prediction_result,0,1,5
hr_1,query_field_mismatch,0,1,4
cre_Docs_and_Epenses,extra_prediction_fields,0,1,4
ship_1,same_shape_fields_wrong_values,0,1,4
hr_1,extra_prediction_fields,0,1,4
allergy_1,same_fields_wrong_values,0,1,4
journal_committee,same_shape_fields_wrong_values,0,1,4
flight_4,extra_prediction_fields,0,1,4
flight_4,missing_prediction_fields,0,1,4
musical,same_fields_wrong_values,0,1,4
journal_committee,stage_mismatch,0,1,4
flight_4,query_field_mismatch,0,1,3
gas_company,extra_prediction_fields,0,1,3
musical,extra_prediction_fields,0,1,3
ship_1,empty_prediction_result,0,1,3
wine_1,stage_mismatch,0,1,3
county_public_safety,empty_prediction_result,0,1,3
university_basketball,empty_prediction_result,0,1,3
cre_Docs_and_Epenses,result_field_name_mismatch,0,1,3
college_3,same_shape_fields_wrong_values,0,1,2
flight_1,same_fields_wrong_values,0,1,2
voter_1,extra_prediction_fields,0,1,2
voter_2,same_fields_wrong_values,0,1,2
flight_1,extra_prediction_fields,0,1,2
college_3,empty_prediction_result,0,1,2
cre_Docs_and_Epenses,same_shape_fields_wrong_values,0,1,2
customer_complaints,same_fields_wrong_values,0,1,2
device,same_fields_wrong_values,0,1,2
county_public_safety,same_shape_fields_wrong_values,0,1,2
cre_Docs_and_Epenses,empty_prediction_result,0,1,2
wine_1,result_field_name_mismatch,0,1,2
gas_company,same_shape_fields_wrong_values,0,1,2
college_3,query_field_mismatch,0,1,2
gas_company,same_fields_wrong_values,0,1,2
allergy_1,same_shape_fields_wrong_values,0,1,1
school_bus,extra_prediction_fields,0,1,1
hr_1,stage_mismatch,0,1,1
e_learning,stage_mismatch,0,1,1
climbing,extra_prediction_fields,0,1,1
